,Unnamed: 0,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,0,39.25,0.43,22.75,0.43,33.75,1.3,bending1
1,1,39.25,0.43,23.0,0.0,33.0,0.0,bending1
2,2,39.25,0.43,23.25,0.43,33.0,0.0,bending1
3,3,39.5,0.5,23.0,0.71,33.0,0.0,bending1
4,4,39.5,0.5,24.0,0.0,33.0,0.0,bending1
5,5,39.25,0.43,24.0,0.0,33.0,0.0,bending1
6,6,39.25,0.43,24.0,0.0,33.0,0.0,bending1
7,7,39.0,0.0,23.75,0.43,33.0,0.0,bending1
8,8,39.5,0.5,24.0,0.0,33.0,0.0,bending1
9,9,39.5,0.5,23.0,0.0,33.0,0.0,bending1
10,10,39.5,0.5,23.25,0.43,33.0,0.0,bending1
11,11,39.5,0.5,23.5,0.5,32.75,0.43,bending1
12,12,39.5,0.5,23.75,0.43,32.5,0.5,bending1
13,13,39.67,0.47,23.75,0.43,33.0,0.0,bending1
14,14,39.5,0.5,24.0,0.0,33.0,0.0,bending1
15,15,39.5,0.5,23.25,0.43,33.0,0.0,bending1
16,16,39.5,0.5,22.5,0.5,33.0,0.0,bending1
17,17,39.5,0.5,22.0,0.71,33.0,0.0,bending1
18,18,40.25,0.83,21.0,0.0,33.0,0.0,bending1
19,19,40.5,0.5,18.67,1.7,33.0,0.0,bending1
20,20,40.67,0.47,15.5,0.87,33.0,0.0,bending1
21,21,40.5,0.5,15.0,0.0,33.0,0.0,bending1
22,22,40.5,0.5,15.0,0.0,33.0,0.0,bending1
23,23,40.33,0.47,16.0,0.0,33.0,0.0,bending1
24,24,40.5,0.5,16.0,0.71,33.0,0.0,bending1
25,25,40.5,0.5,16.5,0.87,33.0,0.0,bending1
26,26,40.5,0.5,17.5,0.87,33.0,0.0,bending1
27,27,40.5,0.5,19.75,1.09,33.75,1.3,bending1
28,28,40.75,0.83,21.0,0.0,33.0,0.0,bending1
29,29,40.75,0.83,21.0,0.0,33.0,0.0,bending1
30,30,41.0,1.0,20.75,0.43,33.75,1.3,bending1
31,31,41.0,1.0,19.67,0.47,34.0,1.41,bending1
32,32,40.75,0.83,19.25,0.43,33.75,1.3,bending1
33,33,40.67,0.47,19.75,0.43,34.0,1.41,bending1
34,34,41.0,0.82,19.0,0.71,35.0,1.41,bending1
35,35,41.0,0.89,17.75,1.09,34.2,1.47,bending1
36,36,41.5,0.5,18.0,0.0,33.0,0.0,bending1
37,37,41.67,0.47,19.5,0.5,33.75,1.3,bending1
38,38,41.25,0.83,20.25,0.43,34.25,1.3,bending1
39,39,41.0,0.82,20.33,0.47,33.75,1.3,bending1
40,40,41.5,0.5,21.0,0.0,33.75,1.3,bending1
41,41,41.5,0.5,19.25,1.3,33.0,0.0,bending1
42,42,41.5,0.5,17.75,0.83,34.5,1.5,bending1
43,43,41.5,0.5,19.0,0.71,35.25,1.3,bending1
44,44,41.5,0.5,15.5,2.18,33.0,0.0,bending1
45,45,41.75,0.43,15.0,0.0,33.5,0.87,bending1
46,46,41.75,0.43,14.75,0.43,33.0,0.0,bending1
47,47,41.75,0.43,11.75,0.43,33.75,1.3,bending1
48,48,41.75,0.43,13.75,1.09,34.5,1.5,bending1
49,49,41.5,0.5,13.5,1.5,33.75,1.3,bending1
50,50,41.5,0.5,13.33,1.25,33.0,0.0,bending1
51,51,41.5,0.5,16.25,1.3,33.0,0.0,bending1
52,52,41.75,0.43,17.75,0.43,32.5,0.5,bending1
53,53,41.75,0.43,16.0,0.71,33.0,0.0,bending1
54,54,42.0,0.0,15.0,1.0,33.0,0.0,bending1
55,55,42.0,0.0,13.5,1.12,33.0,0.0,bending1
56,56,41.75,0.43,13.0,1.22,33.0,0.0,bending1
57,57,41.75,0.43,13.25,1.09,33.0,0.0,bending1
58,58,41.5,0.5,12.25,0.43,33.0,0.0,bending1
59,59,41.67,0.47,13.0,1.0,33.0,0.0,bending1
60,60,41.5,0.5,12.5,0.87,33.0,0.0,bending1
61,61,41.5,0.5,14.5,0.5,32.75,0.43,bending1
62,62,41.33,0.47,14.67,2.49,33.75,1.3,bending1
63,63,41.5,0.5,17.5,1.5,33.0,0.0,bending1
64,64,41.5,0.5,16.5,1.12,33.75,1.3,bending1
65,65,41.75,0.43,15.25,1.09,33.0,0.0,bending1
66,66,42.0,0.0,15.75,0.83,33.0,0.0,bending1
67,67,41.75,0.43,15.75,0.43,33.0,0.0,bending1
68,68,42.0,0.0,15.0,0.0,33.0,0.0,bending1
69,69,41.75,0.43,15.33,0.47,33.0,0.0,bending1
70,70,42.0,0.0,4.0,0.0,33.0,0.0,bending1
71,71,41.75,0.43,9.5,1.8,33.0,0.0,bending1
72,72,42.0,0.0,10.67,0.47,33.0,0.0,bending1
73,73,41.5,0.5,13.0,1.0,33.75,1.3,bending1
74,74,41.5,0.5,9.0,2.16,33.0,0.0,bending1
75,75,41.75,0.43,13.5,0.87,33.0,0.0,bending1
76,76,42.0,0.0,13.5,7.23,33.0,0.0,bending1
77,77,41.75,0.43,10.0,3.08,33.0,0.0,bending1
78,78,41.67,0.47,16.33,2.62,33.75,1.3,bending1
79,79,42.0,0.0,13.5,0.87,33.0,0.0,bending1
80,80,41.75,0.43,13.0,0.71,33.0,0.0,bending1
81,81,42.0,0.0,9.25,2.68,33.0,0.0,bending1
82,82,42.0,0.0,13.75,2.17,33.0,0.0,bending1
83,83,42.0,0.0,18.0,1.22,33.75,1.3,bending1
84,84,42.0,0.0,18.25,0.43,35.25,1.3,bending1
85,85,42.0,0.0,18.0,0.0,36.0,0.0,bending1
86,86,42.0,0.0,17.0,0.82,36.0,0.0,bending1
87,87,42.0,0.0,16.0,0.71,33.75,1.3,bending1
88,88,42.0,0.0,16.5,1.12,35.0,1.41,bending1
89,89,42.0,0.0,15.75,0.83,33.75,1.3,bending1
90,90,42.0,0.0,18.0,0.0,33.75,1.3,bending1
91,91,42.0,0.0,18.0,0.0,34.75,1.09,bending1
92,92,42.0,0.0,18.0,0.0,35.0,1.22,bending1
93,93,42.0,0.0,18.0,0.0,34.5,1.5,bending1
94,94,42.0,0.0,18.0,0.0,33.67,0.94,bending1
95,95,42.0,0.0,19.5,0.5,35.25,1.3,bending1
96,96,42.0,0.0,18.0,0.0,35.75,0.43,bending1
97,97,42.0,0.0,18.0,0.0,35.0,1.41,bending1
98,98,42.0,0.0,18.0,0.0,35.0,1.41,bending1
99,99,42.0,0.0,18.0,0.0,35.25,1.3,bending1
100,100,42.0,0.0,18.0,0.0,36.0,0.0,bending1
101,101,42.0,0.0,18.75,0.83,35.25,1.3,bending1
102,102,42.0,0.0,20.25,0.43,35.0,1.22,bending1
103,103,42.0,0.0,20.25,0.43,34.25,1.3,bending1
104,104,42.0,0.0,19.5,0.5,35.75,0.43,bending1
105,105,42.0,0.0,18.75,0.43,35.0,1.22,bending1
106,106,42.0,0.0,18.0,0.0,35.0,1.41,bending1
107,107,42.0,0.0,18.0,0.0,34.0,1.41,bending1
108,108,42.0,0.0,18.0,0.0,35.25,1.3,bending1
109,109,42.0,0.0,18.0,0.0,35.25,1.3,bending1
110,110,42.0,0.0,18.0,0.0,35.25,1.3,bending1
111,111,42.0,0.0,17.75,0.43,36.0,0.0,bending1
112,112,42.33,0.47,17.5,0.5,35.0,1.41,bending1
113,113,42.0,0.0,17.67,0.47,36.0,0.0,bending1
114,114,42.0,0.0,18.0,0.0,35.25,1.3,bending1
115,115,42.0,0.0,18.0,0.0,34.5,1.5,bending1
116,116,42.0,0.0,19.0,0.71,33.75,1.3,bending1
117,117,42.0,0.0,20.0,0.0,33.75,1.3,bending1
118,118,42.0,0.0,20.0,0.71,35.0,1.22,bending1
119,119,42.0,0.0,19.0,0.0,33.67,0.94,bending1
120,120,42.0,0.0,20.4,0.8,35.4,1.2,bending1
121,121,42.0,0.0,21.0,0.0,36.0,0.0,bending1
122,122,42.0,0.0,20.6,0.49,35.4,1.2,bending1
123,123,42.0,0.0,19.33,0.47,34.0,1.41,bending1
124,124,42.0,0.0,19.5,0.5,35.75,0.43,bending1
125,125,42.0,0.0,19.75,0.43,35.0,1.41,bending1
126,126,42.0,0.0,19.5,0.5,34.5,1.5,bending1
127,127,42.0,0.0,20.5,0.5,33.75,1.3,bending1
128,128,42.0,0.0,20.67,0.47,34.5,1.5,bending1
129,129,42.0,0.0,20.25,0.43,34.5,1.5,bending1
130,130,42.0,0.0,20.0,0.0,35.25,1.3,bending1
131,131,42.0,0.0,19.75,0.43,33.75,1.3,bending1
132,132,42.0,0.0,19.25,0.43,35.25,1.3,bending1
133,133,42.0,0.0,19.0,0.0,36.0,0.0,bending1
134,134,42.0,0.0,18.5,0.5,35.25,1.3,bending1
135,135,42.0,0.0,18.75,0.43,35.25,1.3,bending1
136,136,42.0,0.0,20.0,0.0,36.0,0.0,bending1
137,137,42.0,0.0,20.33,0.47,35.33,0.94,bending1
138,138,42.0,0.0,21.0,0.0,35.0,1.41,bending1
139,139,42.0,0.0,21.0,0.0,35.0,1.22,bending1
140,140,42.0,0.0,21.0,0.0,34.5,1.5,bending1
141,141,42.0,0.0,21.0,0.0,35.25,1.3,bending1
142,142,42.0,0.0,20.5,0.5,35.0,1.41,bending1
143,143,42.0,0.0,21.0,0.0,36.0,0.0,bending1
144,144,42.0,0.0,20.5,0.5,36.0,0.0,bending1
145,145,42.0,0.0,20.25,0.43,34.75,1.3,bending1
146,146,42.0,0.0,19.75,0.43,36.0,0.0,bending1
147,147,42.0,0.0,19.5,0.5,35.25,1.3,bending1
148,148,42.0,0.0,19.75,0.43,36.0,0.0,bending1
149,149,42.0,0.0,19.5,0.5,35.25,1.3,bending1
150,150,42.0,0.0,20.0,0.71,36.0,0.0,bending1
151,151,42.0,0.0,20.0,0.0,36.0,0.0,bending1
152,152,42.0,0.0,19.33,0.47,35.0,1.41,bending1
153,153,42.0,0.0,21.0,0.0,33.0,0.0,bending1
154,154,41.0,1.22,22.5,1.12,33.5,0.87,bending1
155,155,39.0,0.82,24.0,0.0,33.0,0.0,bending1
156,156,39.0,0.0,24.0,0.0,33.0,0.0,bending1
157,157,39.0,0.0,24.0,0.0,33.0,0.0,bending1
158,158,39.0,0.0,24.0,0.0,35.75,0.43,bending1
159,159,38.75,0.43,24.0,0.0,35.25,1.3,bending1
160,160,38.75,0.43,24.0,0.0,35.25,1.3,bending1
161,161,38.5,0.5,24.0,0.0,33.75,1.3,bending1
162,162,38.5,0.5,24.0,0.0,33.75,1.3,bending1
163,163,38.0,1.0,24.0,0.0,33.0,0.0,bending1
164,164,38.25,0.83,24.0,0.0,34.0,1.41,bending1
165,165,38.5,0.5,24.0,0.0,34.0,1.41,bending1
166,166,38.5,0.5,24.0,0.0,36.0,0.0,bending1
167,167,38.67,0.47,24.0,0.0,35.0,1.41,bending1
168,168,38.75,0.43,24.0,0.0,36.0,0.0,bending1
169,169,38.5,0.5,24.75,0.43,35.25,1.3,bending1
170,170,38.33,0.47,25.67,0.94,33.0,0.0,bending1
171,171,38.75,0.43,24.0,0.0,33.75,1.3,bending1
172,172,39.0,0.0,19.25,1.64,36.0,0.0,bending1
173,173,39.0,0.0,17.75,0.43,35.25,1.3,bending1
174,174,39.5,0.5,15.25,1.79,36.0,0.0,bending1
175,175,41.25,0.43,15.0,0.71,36.0,0.0,bending1
176,176,41.75,0.43,16.0,0.0,36.0,0.0,bending1
177,177,41.25,0.83,14.75,0.43,36.0,0.0,bending1
178,178,41.5,0.5,14.25,0.43,36.0,0.0,bending1
179,179,41.25,0.83,15.5,0.5,35.25,0.83,bending1
180,180,41.25,0.83,16.0,0.0,34.5,1.5,bending1
181,181,41.0,1.0,16.0,0.0,35.25,1.3,bending1
182,182,41.5,0.5,15.25,0.43,36.0,0.0,bending1
183,183,41.25,0.83,16.0,0.0,36.0,0.0,bending1
184,184,41.0,1.0,16.0,0.0,36.0,0.0,bending1
185,185,40.5,0.5,16.0,0.0,36.0,0.0,bending1
186,186,41.0,1.0,16.0,0.0,36.0,0.0,bending1
187,187,40.67,0.47,16.0,0.0,36.0,0.0,bending1
188,188,40.5,0.5,16.0,0.0,36.0,0.0,bending1
189,189,40.75,0.83,16.25,0.43,36.0,0.0,bending1
190,190,40.67,0.94,16.0,0.0,36.0,0.0,bending1
191,191,40.5,0.5,16.0,0.0,36.0,0.0,bending1
192,192,40.5,0.5,15.67,0.47,36.0,0.0,bending1
193,193,40.5,0.5,16.0,0.0,36.0,0.0,bending1
194,194,40.75,0.83,16.0,0.0,36.0,0.0,bending1
195,195,41.0,1.0,17.0,0.0,36.0,0.0,bending1
196,196,40.75,0.83,17.0,0.0,36.0,0.0,bending1
197,197,40.75,0.83,17.0,0.0,36.0,0.0,bending1
198,198,40.5,0.5,17.0,0.0,36.0,0.0,bending1
199,199,40.5,0.5,16.75,0.43,36.0,0.0,bending1
200,200,40.5,0.5,17.0,0.0,36.0,0.0,bending1
201,201,40.5,0.5,16.33,0.47,36.0,0.0,bending1
202,202,40.75,0.83,16.67,0.47,36.0,0.0,bending1
203,203,40.5,0.5,17.0,0.0,36.0,0.0,bending1
204,204,40.5,0.5,16.67,0.47,36.0,0.0,bending1
205,205,40.67,0.47,17.0,0.0,36.0,0.0,bending1
206,206,40.25,0.83,16.75,0.43,36.0,0.0,bending1
207,207,40.33,0.47,17.0,0.0,36.0,0.0,bending1
208,208,40.5,0.5,16.67,0.47,36.0,0.0,bending1
209,209,40.0,1.0,17.0,0.0,36.0,0.0,bending1
210,210,40.25,0.83,16.75,0.43,35.25,1.3,bending1
211,211,40.5,0.5,17.0,0.71,36.0,0.0,bending1
212,212,40.5,0.5,17.0,0.0,36.0,0.0,bending1
213,213,40.5,0.5,18.0,0.0,36.0,0.0,bending1
214,214,40.25,0.83,17.25,0.83,36.0,0.0,bending1
215,215,40.67,0.47,17.0,0.0,36.0,0.0,bending1
216,216,40.5,0.5,16.75,0.43,36.0,0.0,bending1
217,217,40.5,0.5,16.0,0.0,35.25,1.3,bending1
218,218,40.67,0.47,16.75,0.83,36.0,0.0,bending1
219,219,40.67,0.47,17.25,0.83,36.0,0.0,bending1
220,220,40.25,0.83,15.25,0.83,33.75,1.3,bending1
221,221,40.33,0.47,11.33,2.49,34.5,1.5,bending1
222,222,40.25,0.83,4.0,1.22,34.5,1.5,bending1
223,223,40.0,1.0,4.0,1.0,34.25,1.3,bending1
224,224,40.25,0.83,4.25,2.17,34.5,1.5,bending1
225,225,40.25,0.83,5.75,1.3,34.5,1.5,bending1
226,226,40.5,0.5,11.0,1.87,35.75,0.43,bending1
227,227,40.5,0.5,10.25,2.28,33.75,1.3,bending1
228,228,40.0,1.0,10.25,1.92,34.5,1.5,bending1
229,229,40.0,1.0,12.0,0.71,35.5,0.87,bending1
230,230,39.33,0.47,11.33,0.47,36.0,0.0,bending1
231,231,40.0,1.0,9.33,3.09,34.0,1.41,bending1
232,232,40.0,0.71,9.25,2.68,33.75,1.3,bending1
233,233,40.0,1.0,12.0,0.0,33.75,1.3,bending1
234,234,39.33,0.47,10.0,1.87,34.0,1.41,bending1
235,235,39.0,0.0,15.33,3.09,36.0,0.0,bending1
236,236,39.0,0.0,18.0,0.0,36.0,0.0,bending1
237,237,39.0,0.0,18.0,0.0,36.0,0.0,bending1
