,Unnamed: 0,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,0,29.0,0.0,9.0,0.71,8.5,0.5,lying
1,1,29.0,0.0,8.0,0.71,8.5,0.5,lying
2,2,29.0,0.0,8.0,0.71,8.0,1.0,lying
3,3,28.5,0.5,8.25,0.43,8.75,0.43,lying
4,4,29.0,0.0,8.75,1.09,9.0,0.0,lying
5,5,29.0,0.0,8.75,1.09,9.0,0.0,lying
6,6,29.0,0.0,8.75,1.09,9.0,0.0,lying
7,7,29.0,0.0,8.53,0.62,8.8,0.54,lying
8,8,29.0,0.0,8.53,0.62,8.8,0.54,lying
9,9,29.0,0.0,8.5,0.5,8.5,0.5,lying
10,10,29.0,0.0,7.25,0.43,8.75,0.43,lying
11,11,29.0,0.0,7.25,0.43,9.0,0.0,lying
12,12,29.0,0.0,7.0,0.0,8.75,0.43,lying
13,13,29.0,0.0,7.33,0.47,8.67,0.47,lying
14,14,29.0,0.0,8.5,0.5,8.75,0.43,lying
15,15,29.0,0.0,8.5,0.5,9.0,0.0,lying
16,16,29.0,0.0,7.5,0.5,8.67,0.47,lying
17,17,29.0,0.0,7.75,0.43,8.5,0.5,lying
18,18,29.0,0.0,6.67,0.94,8.5,0.5,lying
19,19,29.0,0.0,6.5,0.5,8.5,0.5,lying
20,20,29.0,0.0,6.5,0.87,9.25,0.43,lying
21,21,28.75,0.43,6.75,0.83,9.0,0.0,lying
22,22,28.75,0.43,7.25,0.83,9.0,0.0,lying
23,23,28.75,0.43,7.25,1.09,9.0,0.0,lying
24,24,29.0,0.0,6.67,0.47,9.0,0.0,lying
25,25,29.0,0.0,7.0,0.71,8.5,0.5,lying
26,26,28.75,0.43,8.0,0.82,9.0,0.0,lying
27,27,29.0,0.0,8.0,1.0,8.5,0.5,lying
28,28,29.0,0.0,7.2,1.17,8.5,0.5,lying
29,29,29.0,0.0,7.75,1.09,9.0,0.0,lying
30,30,29.0,0.0,4.67,0.47,9.75,1.3,lying
31,31,29.0,0.0,4.0,1.63,11.0,0.82,lying
32,32,28.75,0.43,5.0,0.0,10.0,1.0,lying
33,33,29.0,0.0,3.0,0.82,7.5,0.87,lying
34,34,29.0,0.0,4.0,0.0,4.75,1.3,lying
35,35,29.0,0.0,6.0,2.0,9.0,3.54,lying
36,36,28.5,0.5,4.75,1.3,9.25,2.17,lying
37,37,29.0,0.0,6.0,2.45,5.75,1.48,lying
38,38,29.0,0.0,6.25,2.68,7.5,1.5,lying
