,Unnamed: 0,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,0,42.0,0.0,19.2,0.98,15.5,2.06,sitting
1,1,42.0,0.0,19.33,0.94,11.0,0.82,sitting
2,2,42.0,0.0,17.5,0.5,12.5,0.5,sitting
3,3,42.0,0.0,17.0,1.41,13.33,0.94,sitting
4,4,42.0,0.0,17.5,0.87,12.0,0.82,sitting
5,5,42.0,0.0,18.0,0.0,10.0,0.82,sitting
6,6,42.0,0.0,18.5,0.5,10.0,0.0,sitting
7,7,42.0,0.0,18.25,0.43,12.33,1.7,sitting
8,8,41.75,0.43,18.0,0.0,4.0,1.58,sitting
9,9,42.0,0.0,17.75,0.43,2.5,0.87,sitting
10,10,42.0,0.0,15.75,1.3,5.75,2.28,sitting
11,11,42.0,0.0,15.25,0.43,1.0,0.0,sitting
12,12,42.0,0.0,16.75,0.83,3.5,1.12,sitting
13,13,41.75,0.43,16.0,1.0,6.33,3.86,sitting
14,14,42.0,0.0,17.75,0.43,7.75,3.42,sitting
15,15,42.0,0.0,18.25,0.43,9.0,0.82,sitting
16,16,42.0,0.0,18.33,0.47,7.0,0.82,sitting
17,17,42.0,0.0,18.0,0.71,10.5,2.06,sitting
18,18,42.0,0.0,17.25,0.83,8.25,4.49,sitting
19,19,42.0,0.0,17.25,1.3,7.67,2.05,sitting
20,20,42.0,0.0,15.25,0.43,12.0,1.58,sitting
21,21,42.0,0.0,15.5,0.87,11.5,1.12,sitting
22,22,42.0,0.0,16.75,1.09,9.33,2.36,sitting
23,23,42.0,0.0,17.5,0.5,11.0,0.71,sitting
24,24,42.0,0.0,16.5,1.5,11.5,0.5,sitting
25,25,42.0,0.0,18.0,0.0,14.25,0.83,sitting
26,26,42.0,0.0,18.0,0.0,11.25,0.83,sitting
27,27,42.0,0.0,18.25,0.43,12.0,0.82,sitting
28,28,42.0,0.0,16.0,1.22,14.67,0.94,sitting
29,29,42.0,0.0,14.75,0.43,13.33,0.47,sitting
30,30,42.0,0.0,14.67,0.47,13.0,0.82,sitting
31,31,42.0,0.0,15.0,0.0,12.5,0.5,sitting
32,32,42.0,0.0,15.67,0.94,11.75,0.43,sitting
33,33,42.0,0.0,15.75,0.83,9.5,1.12,sitting
34,34,42.25,0.43,16.0,0.71,6.67,0.47,sitting
35,35,42.0,0.0,15.0,0.0,5.33,0.94,sitting
36,36,42.0,0.0,14.5,0.5,8.0,0.71,sitting
37,37,42.0,0.0,15.0,0.0,4.0,0.0,sitting
38,38,42.0,0.0,15.25,0.43,2.5,0.5,sitting
39,39,42.0,0.0,15.0,0.0,3.0,1.0,sitting
40,40,42.0,0.0,15.25,0.43,3.0,0.71,sitting
41,41,42.0,0.0,15.67,0.47,2.0,0.0,sitting
42,42,42.0,0.0,17.25,0.83,2.0,0.0,sitting
43,43,42.0,0.0,17.5,0.5,3.25,1.3,sitting
44,44,42.0,0.0,16.75,0.43,6.67,0.47,sitting
45,45,42.0,0.0,16.5,0.87,9.0,1.22,sitting
46,46,42.0,0.0,14.75,0.43,10.0,0.0,sitting
47,47,42.0,0.0,13.33,0.47,9.5,0.5,sitting
48,48,42.0,0.0,14.5,0.87,10.25,1.3,sitting
49,49,42.0,0.0,14.5,0.87,5.0,3.67,sitting
50,50,42.0,0.0,15.0,0.0,3.0,2.16,sitting
51,51,42.0,0.0,16.25,0.83,11.25,2.86,sitting
52,52,42.0,0.0,18.0,0.0,15.0,0.71,sitting
53,53,41.5,0.5,17.5,0.5,15.0,0.0,sitting
54,54,41.5,0.5,17.67,0.47,15.33,0.47,sitting
55,55,41.75,0.43,17.25,0.43,15.75,0.83,sitting
56,56,41.67,0.47,17.25,0.83,15.0,0.82,sitting
57,57,41.5,0.5,14.0,1.22,14.33,0.47,sitting
58,58,41.67,0.47,12.0,0.0,13.0,0.71,sitting
59,59,41.5,0.5,12.75,1.3,13.75,1.3,sitting
60,60,42.0,0.0,14.25,0.83,13.75,0.83,sitting
61,61,42.0,0.0,13.5,1.5,10.0,1.63,sitting
62,62,42.0,0.0,12.0,0.0,9.33,0.47,sitting
63,63,42.0,0.0,13.33,0.94,7.25,1.3,sitting
64,64,42.0,0.0,13.25,0.43,6.25,0.83,sitting
65,65,42.0,0.0,12.25,0.43,6.25,0.43,sitting
66,66,42.0,0.0,12.0,0.0,5.33,1.25,sitting
67,67,42.0,0.0,11.25,1.3,7.67,2.05,sitting
68,68,42.0,0.0,10.0,0.82,10.33,0.94,sitting
69,69,42.0,0.0,9.0,0.0,11.33,0.47,sitting
70,70,42.0,0.0,10.67,1.25,13.67,1.25,sitting
71,71,42.0,0.0,10.5,1.12,17.5,1.66,sitting
72,72,41.67,0.47,8.67,2.49,12.0,5.61,sitting
73,73,40.5,1.12,13.0,0.71,3.0,0.82,sitting
74,74,40.75,0.43,12.5,0.87,2.67,1.25,sitting
75,75,41.25,0.83,13.25,1.3,4.25,1.48,sitting
76,76,41.25,0.83,14.75,0.43,6.33,1.25,sitting
77,77,41.25,0.83,14.75,0.43,6.25,1.48,sitting
78,78,41.0,1.0,15.0,0.0,7.0,0.82,sitting
79,79,41.5,0.5,15.0,0.0,6.5,0.5,sitting
80,80,41.75,0.43,13.0,2.16,11.33,0.47,sitting
81,81,41.5,0.5,10.75,2.17,8.0,2.24,sitting
82,82,41.5,0.5,10.75,0.83,6.0,4.08,sitting
83,83,41.25,0.83,13.0,1.63,8.0,0.0,sitting
84,84,41.5,0.5,10.75,1.3,11.5,0.5,sitting
85,85,41.67,0.47,9.75,0.83,10.67,1.25,sitting
86,86,42.0,0.0,11.0,1.22,9.0,2.12,sitting
87,87,42.0,0.0,11.25,0.83,8.6,3.38,sitting
88,88,42.0,0.0,12.0,0.0,13.0,0.82,sitting
89,89,42.0,0.0,12.0,0.0,11.75,0.43,sitting
90,90,42.0,0.0,14.0,1.0,10.67,0.47,sitting
91,91,41.75,0.43,19.25,2.49,14.75,2.77,sitting
92,92,41.5,0.5,20.5,0.5,13.0,1.0,sitting
93,93,41.5,0.5,20.75,0.43,11.75,0.43,sitting
94,94,41.5,0.5,20.75,0.43,11.75,1.09,sitting
95,95,41.5,0.5,19.75,0.43,11.75,0.43,sitting
96,96,41.5,0.5,19.75,0.83,11.5,2.06,sitting
97,97,41.75,0.43,19.25,1.3,15.0,2.12,sitting
98,98,42.0,0.0,20.5,0.87,12.33,0.47,sitting
99,99,43.25,0.43,20.75,0.43,10.75,1.3,sitting
100,100,43.5,0.5,20.5,0.5,13.0,0.71,sitting
101,101,43.5,0.5,20.75,0.43,10.0,1.22,sitting
102,102,43.0,0.71,18.75,2.28,11.5,6.02,sitting
103,103,42.5,0.5,18.0,0.0,14.0,1.22,sitting
104,104,42.25,0.43,18.5,0.87,13.0,1.22,sitting
105,105,42.5,0.5,20.0,0.0,14.33,0.94,sitting
106,106,42.5,0.5,19.67,0.47,10.33,0.47,sitting
107,107,42.67,0.47,18.75,0.83,12.0,0.82,sitting
108,108,42.5,0.5,18.25,0.43,13.0,1.22,sitting
109,109,42.0,0.0,18.0,0.0,14.0,0.71,sitting
110,110,42.25,0.43,19.0,1.0,13.25,1.09,sitting
111,111,42.33,0.47,19.67,0.47,14.75,1.48,sitting
112,112,42.67,0.47,17.67,0.47,14.75,0.83,sitting
113,113,42.75,0.43,16.25,1.09,12.5,1.12,sitting
114,114,42.5,0.5,13.0,2.0,14.0,1.22,sitting
115,115,42.5,0.5,14.0,1.22,10.0,2.74,sitting
116,116,42.5,0.5,15.0,0.0,11.5,0.5,sitting
117,117,42.5,0.5,14.8,1.47,11.0,2.68,sitting
118,118,42.5,0.5,14.25,0.83,13.5,2.06,sitting
119,119,42.5,0.5,15.0,0.71,13.0,1.41,sitting
120,120,42.5,0.5,14.5,1.5,15.0,0.0,sitting
121,121,42.5,0.5,7.33,1.25,13.67,1.25,sitting
122,122,42.75,0.83,11.0,4.32,11.67,1.25,sitting
123,123,42.75,0.83,17.25,1.3,8.0,5.52,sitting
124,124,42.5,0.5,15.75,0.83,9.0,3.0,sitting
125,125,42.5,0.5,18.25,0.43,13.5,1.66,sitting
126,126,42.75,0.83,18.25,0.43,10.75,0.83,sitting
127,127,43.0,0.71,19.25,0.43,8.33,0.94,sitting
128,128,43.0,0.0,19.0,0.71,7.75,1.3,sitting
129,129,43.0,0.82,19.25,0.43,10.67,0.47,sitting
130,130,42.75,0.43,19.0,0.0,11.25,0.83,sitting
131,131,42.67,0.47,19.33,0.47,13.25,0.83,sitting
132,132,43.5,0.5,20.0,0.0,12.75,0.83,sitting
