,Unnamed: 0,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,0,46.5,0.5,11.5,0.5,20.33,0.94,standing
1,1,46.5,0.5,12.0,0.0,20.25,0.43,standing
2,2,46.5,0.5,12.0,0.0,20.5,0.5,standing
3,3,46.5,0.5,12.75,0.43,19.5,0.5,standing
4,4,46.5,0.5,13.25,0.43,18.75,0.43,standing
5,5,46.5,0.5,13.5,0.5,19.0,1.0,standing
6,6,46.5,0.5,13.25,0.43,19.0,0.71,standing
7,7,46.67,0.47,12.25,0.43,19.67,0.47,standing
8,8,46.5,0.5,12.0,0.0,19.5,0.5,standing
9,9,46.5,0.5,12.0,0.0,19.33,1.25,standing
10,10,46.5,0.5,12.0,0.0,20.0,0.82,standing
11,11,46.5,0.5,11.25,0.43,20.0,0.0,standing
12,12,46.67,0.47,11.0,0.0,20.33,0.47,standing
13,13,46.0,0.63,10.75,0.43,20.2,0.75,standing
14,14,46.67,0.47,11.0,0.0,20.67,0.47,standing
15,15,46.5,0.5,11.5,0.5,20.5,0.5,standing
16,16,46.33,0.47,12.0,0.0,20.5,0.5,standing
17,17,46.5,0.5,12.0,0.0,20.25,0.43,standing
18,18,46.25,0.43,12.0,0.0,20.25,0.83,standing
19,19,46.0,0.0,12.0,0.0,20.25,0.43,standing
20,20,46.5,0.5,12.0,0.0,18.33,0.47,standing
21,21,46.5,0.5,13.25,0.83,17.5,0.5,standing
22,22,46.5,0.5,13.25,0.83,13.5,1.5,standing
23,23,46.5,0.5,12.0,0.0,11.0,1.41,standing
24,24,46.5,0.5,11.0,0.0,10.25,1.48,standing
25,25,46.67,0.47,11.0,0.82,14.75,0.83,standing
26,26,46.25,0.83,16.33,1.25,20.0,1.41,standing
27,27,46.25,0.83,18.25,0.43,19.75,1.3,standing
28,28,46.0,0.82,18.75,0.43,18.67,0.94,standing
29,29,46.5,0.5,18.0,0.71,21.0,0.71,standing
30,30,46.4,0.49,12.0,1.87,19.4,1.36,standing
31,31,46.75,0.43,11.75,0.43,16.25,2.05,standing
32,32,47.0,0.0,12.0,0.0,13.0,0.0,standing
33,33,46.75,0.43,9.75,0.83,12.5,1.5,standing
34,34,46.5,0.5,11.0,1.58,16.5,1.12,standing
35,35,46.75,0.43,16.0,1.0,20.0,1.41,standing
36,36,46.33,0.47,18.0,0.0,22.0,0.71,standing
37,37,46.5,0.5,17.0,1.22,22.0,0.71,standing
38,38,47.0,0.0,13.0,1.41,19.25,1.3,standing
39,39,47.25,0.43,11.67,0.47,14.25,1.09,standing
40,40,47.0,0.0,11.67,0.47,7.75,2.49,standing
41,41,47.25,0.43,9.75,0.43,7.75,3.34,standing
42,42,47.0,0.71,11.0,1.22,13.5,2.96,standing
43,43,46.75,0.43,12.0,1.87,18.0,1.22,standing
44,44,46.5,0.5,16.0,0.82,21.0,0.82,standing
45,45,46.5,0.5,17.6,0.49,22.6,0.8,standing
46,46,46.5,0.5,15.0,0.82,20.67,0.47,standing
47,47,47.0,0.0,12.25,0.43,16.75,1.64,standing
48,48,46.75,0.43,16.5,1.12,14.75,1.3,standing
49,49,46.67,0.47,16.25,0.43,12.33,3.4,standing
50,50,45.5,0.5,12.75,2.49,17.0,0.71,standing
51,51,45.0,0.0,4.5,2.5,17.0,1.22,standing
52,52,45.0,0.0,15.5,2.5,17.75,1.09,standing
53,53,45.0,0.0,16.5,1.66,20.5,0.87,standing
54,54,46.5,0.5,13.75,1.48,20.25,1.3,standing
55,55,47.25,0.43,15.5,0.87,17.25,0.83,standing
56,56,47.5,0.5,16.75,1.09,16.0,2.55,standing
57,57,47.5,0.5,14.0,2.45,12.0,3.67,standing
58,58,47.5,0.5,12.5,2.5,11.25,0.83,standing
59,59,46.5,0.5,11.0,3.54,13.25,1.3,standing
60,60,46.0,1.0,6.5,3.64,18.25,2.17,standing
61,61,45.5,0.5,13.67,1.25,21.25,1.09,standing
62,62,45.5,0.5,14.0,1.0,22.0,0.71,standing
63,63,45.5,0.5,12.25,0.43,20.0,1.22,standing
64,64,46.0,0.0,4.67,1.25,17.0,1.22,standing
65,65,46.5,0.5,10.33,1.25,11.33,1.25,standing
66,66,46.5,0.5,8.25,1.3,15.25,0.83,standing
67,67,46.5,0.5,9.0,2.16,19.75,0.83,standing
68,68,46.0,0.71,14.75,0.43,20.5,0.87,standing
69,69,46.0,0.82,17.5,0.87,21.33,0.47,standing
70,70,45.5,0.5,18.0,0.0,20.75,0.43,standing
71,71,46.0,0.82,15.0,0.0,18.5,0.5,standing
72,72,46.5,0.5,8.75,3.96,17.0,1.22,standing
73,73,46.75,0.43,10.5,2.6,16.0,0.71,standing
74,74,46.5,0.5,11.5,2.18,16.75,0.43,standing
75,75,45.75,0.83,9.5,2.06,14.75,1.09,standing
76,76,45.25,0.43,12.25,0.43,17.75,0.43,standing
77,77,45.0,0.0,15.0,0.71,17.5,0.5,standing
78,78,45.0,0.0,13.75,1.3,17.25,1.3,standing
79,79,45.25,0.43,6.67,3.3,16.75,1.09,standing
80,80,46.25,0.43,2.0,0.0,14.75,0.43,standing
81,81,46.25,0.83,4.0,0.0,16.0,2.55,standing
82,82,45.5,0.5,14.0,0.82,19.5,0.87,standing
83,83,45.0,0.0,13.67,0.47,20.0,0.82,standing
84,84,45.0,0.0,11.67,0.47,19.33,0.47,standing
85,85,45.0,0.0,11.6,0.8,17.5,0.5,standing
86,86,45.0,0.0,11.75,0.43,17.75,0.43,standing
87,87,45.33,0.47,13.0,0.82,17.5,0.5,standing
88,88,45.75,0.83,12.0,0.0,19.25,0.83,standing
89,89,45.75,0.83,12.75,0.43,19.0,0.71,standing
90,90,45.0,0.0,12.0,0.0,19.25,0.83,standing
91,91,45.5,0.5,6.5,3.84,19.0,1.0,standing
92,92,47.0,0.71,11.25,1.3,17.5,0.87,standing
93,93,46.75,0.83,5.0,0.0,17.0,1.41,standing
94,94,46.0,0.71,11.33,1.7,18.25,0.43,standing
95,95,45.5,0.5,12.0,0.0,18.67,0.94,standing
96,96,46.25,0.43,12.0,0.0,21.25,0.43,standing
97,97,46.67,0.47,10.0,1.0,22.0,1.0,standing
98,98,46.5,0.5,3.5,0.5,22.25,0.43,standing
99,99,45.67,0.94,7.67,1.89,21.25,0.43,standing
100,100,45.33,0.47,12.0,0.0,20.0,1.0,standing
101,101,45.0,0.0,8.5,2.96,17.5,1.5,standing
102,102,45.75,0.43,4.33,3.4,17.0,0.71,standing
103,103,46.5,0.5,11.0,0.82,16.25,0.83,standing
104,104,46.5,0.5,11.5,0.87,15.5,0.87,standing
105,105,45.75,0.83,6.0,0.0,17.25,0.83,standing
106,106,45.0,0.0,11.0,1.0,19.25,0.83,standing
107,107,45.0,0.0,12.5,0.5,18.0,0.0,standing
108,108,45.0,0.0,12.0,0.0,18.5,0.5,standing
109,109,45.0,0.0,12.33,0.47,19.33,1.25,standing
110,110,45.75,0.43,12.5,0.5,20.5,0.87,standing
111,111,46.75,0.43,9.5,2.5,18.0,0.0,standing
112,112,47.0,0.0,14.0,0.71,17.25,1.48,standing
113,113,47.0,0.0,13.0,1.0,17.25,0.83,standing
114,114,46.67,0.47,6.67,4.11,19.0,1.41,standing
115,115,46.5,0.5,12.5,0.5,19.75,0.83,standing
116,116,45.25,0.43,12.25,0.43,17.5,0.87,standing
117,117,45.0,0.0,12.0,0.0,17.75,1.48,standing
118,118,45.5,0.5,10.75,2.17,19.75,0.43,standing
119,119,45.75,0.43,10.0,5.79,15.5,0.5,standing
120,120,47.25,0.43,13.33,1.25,17.25,0.83,standing
121,121,47.5,0.5,11.75,1.09,17.0,0.71,standing
122,122,46.0,0.71,8.0,0.82,13.75,1.3,standing
123,123,45.75,0.43,8.0,0.71,15.0,1.41,standing
124,124,46.5,0.5,2.67,1.7,15.5,0.5,standing
125,125,46.75,0.43,7.0,0.0,14.67,1.25,standing
126,126,46.5,0.5,4.0,2.0,16.25,0.43,standing
127,127,46.5,0.5,2.0,0.0,18.0,0.0,standing
128,128,45.33,0.47,8.0,0.0,19.67,1.25,standing
129,129,45.0,0.0,6.33,2.05,18.75,1.3,standing
130,130,45.0,0.0,6.0,1.63,18.25,0.43,standing
131,131,45.0,0.0,6.5,0.5,16.5,1.5,standing
132,132,46.5,0.5,7.0,3.74,13.0,1.0,standing
133,133,47.0,0.0,12.0,0.71,12.0,2.12,standing
134,134,47.0,0.71,8.5,2.5,16.25,1.48,standing
135,135,46.25,0.83,11.75,0.43,20.0,1.22,standing
136,136,45.25,0.43,11.75,0.43,15.5,1.66,standing
137,137,45.0,0.0,11.5,0.5,15.0,1.87,standing
138,138,45.5,0.5,12.5,0.5,20.25,1.3,standing
139,139,46.5,0.5,8.67,0.47,19.33,1.25,standing
140,140,47.5,0.5,13.0,1.41,13.67,1.25,standing
141,141,47.67,0.47,14.25,0.83,11.67,0.47,standing
142,142,47.5,0.5,11.0,1.22,12.0,2.45,standing
143,143,47.33,0.47,4.0,1.63,16.25,2.28,standing
144,144,47.2,0.75,10.4,2.06,19.5,0.5,standing
145,145,45.67,0.47,13.33,0.47,17.75,0.83,standing
146,146,45.5,0.5,12.0,0.0,16.0,1.22,standing
147,147,45.67,0.47,10.75,1.3,20.0,1.73,standing
148,148,46.75,0.43,7.25,1.79,19.5,1.5,standing
149,149,47.25,0.43,15.0,2.24,15.0,0.71,standing
150,150,47.5,0.5,16.0,0.82,14.25,1.79,standing
151,151,47.5,0.5,14.25,0.43,14.75,1.09,standing
152,152,47.25,0.43,15.67,0.47,14.67,0.47,standing
153,153,47.5,0.5,12.5,2.5,17.67,0.47,standing
154,154,46.5,1.12,12.0,0.0,19.0,0.71,standing
155,155,45.33,0.47,11.33,0.94,17.0,0.82,standing
156,156,45.0,0.0,12.0,0.0,18.75,1.48,standing
157,157,46.5,0.5,9.75,1.79,18.5,1.66,standing
158,158,47.25,0.43,14.25,1.3,13.5,1.12,standing
159,159,47.5,0.5,13.25,1.09,12.25,0.43,standing
160,160,47.5,0.5,12.5,0.5,12.5,0.87,standing
161,161,47.5,0.5,9.25,3.27,15.25,1.79,standing
162,162,47.5,0.5,10.5,1.66,20.0,1.22,standing
163,163,46.75,0.43,13.0,0.71,19.5,0.87,standing
164,164,46.5,0.5,13.75,0.43,18.25,0.43,standing
165,165,46.75,0.43,13.0,0.71,20.5,0.87,standing
166,166,47.5,0.5,6.0,2.55,19.75,1.3,standing
167,167,47.75,0.43,12.5,2.69,13.25,1.3,standing
168,168,48.0,0.0,16.25,0.43,12.75,1.3,standing
169,169,48.0,0.0,15.5,0.5,12.25,0.43,standing
170,170,47.5,0.5,13.0,1.41,15.0,2.12,standing
171,171,46.5,0.5,9.5,1.5,19.67,1.25,standing
172,172,45.25,0.43,12.5,0.5,18.5,0.87,standing
173,173,45.0,0.0,12.25,0.43,17.5,0.87,standing
174,174,45.5,0.5,12.0,0.0,19.75,0.83,standing
175,175,46.5,0.5,5.75,1.3,19.25,1.09,standing
176,176,47.75,0.43,8.75,1.48,17.25,0.83,standing
177,177,48.0,0.0,12.0,0.71,16.75,1.09,standing
178,178,48.0,0.0,14.5,0.5,18.75,0.83,standing
179,179,47.67,0.47,12.75,0.83,21.33,0.47,standing
180,180,46.75,0.43,6.33,2.49,21.5,0.5,standing
181,181,47.33,0.47,9.33,2.49,20.25,0.83,standing
182,182,47.0,0.0,13.5,1.12,17.75,0.43,standing
183,183,46.5,0.5,14.5,0.87,17.75,0.43,standing
184,184,46.5,0.5,11.33,0.94,17.75,0.43,standing
185,185,46.33,0.47,9.5,0.5,18.0,0.0,standing
186,186,46.5,0.5,10.0,0.0,18.0,0.0,standing
187,187,46.75,0.43,9.67,0.47,17.67,0.47,standing
188,188,46.5,0.5,11.75,0.43,17.25,0.83,standing
189,189,47.0,0.0,12.0,0.0,17.75,0.43,standing
190,190,47.67,0.47,11.0,0.0,18.67,0.47,standing
191,191,47.25,0.43,9.67,0.47,19.0,0.71,standing
192,192,46.5,0.5,7.67,0.47,18.75,0.83,standing
193,193,46.0,0.0,6.67,0.47,18.5,0.5,standing
194,194,46.5,0.5,8.0,1.22,18.25,0.43,standing
195,195,46.33,0.47,11.33,1.25,17.75,0.43,standing
196,196,47.5,0.5,14.0,1.22,17.0,0.71,standing
197,197,48.0,0.0,13.75,1.3,14.25,2.28,standing
198,198,48.0,0.0,14.75,0.43,15.75,1.64,standing
199,199,47.75,0.43,16.0,1.22,15.0,0.0,standing
200,200,46.75,1.09,16.0,1.58,14.0,1.22,standing
201,201,45.5,0.5,8.67,2.87,14.75,1.09,standing
202,202,45.5,0.5,8.75,1.09,17.25,0.83,standing
203,203,45.25,0.43,12.0,0.0,17.0,0.82,standing
204,204,45.33,0.47,9.75,1.92,17.33,0.47,standing
205,205,45.33,0.47,3.5,1.5,15.0,0.0,standing
206,206,46.0,0.71,7.0,1.63,16.0,1.22,standing
207,207,47.5,0.5,11.67,0.47,18.0,1.22,standing
208,208,46.33,0.47,12.67,0.94,17.25,0.83,standing
209,209,45.25,0.43,12.25,0.43,16.0,0.0,standing
210,210,45.0,0.0,13.0,0.0,14.25,0.83,standing
211,211,44.5,0.5,13.25,1.09,17.25,2.59,standing
212,212,44.75,0.43,13.0,1.22,17.75,0.43,standing
213,213,44.75,0.43,12.0,0.0,16.75,0.83,standing
214,214,44.25,0.83,11.33,0.94,16.33,0.47,standing
215,215,43.5,0.5,8.5,1.12,16.75,1.3,standing
216,216,43.67,0.47,9.0,0.0,16.33,0.94,standing
217,217,43.75,0.83,11.5,0.5,16.25,0.83,standing
218,218,45.0,0.0,12.0,0.0,16.75,0.43,standing
219,219,45.0,0.0,12.33,0.47,17.25,0.83,standing
220,220,45.0,0.0,12.25,0.43,18.75,0.83,standing
221,221,45.0,0.0,7.33,2.36,16.75,0.43,standing
222,222,45.25,0.43,2.0,0.0,16.75,0.83,standing
223,223,45.0,0.0,3.67,1.7,17.5,0.87,standing
224,224,45.0,0.0,8.67,1.89,16.25,1.09,standing
225,225,45.0,0.0,11.75,0.43,18.5,0.5,standing
226,226,45.0,0.0,13.0,0.71,19.25,0.83,standing
227,227,45.75,0.43,12.5,0.87,20.0,1.22,standing
228,228,46.25,0.43,10.5,1.5,20.33,0.47,standing
229,229,46.25,0.43,10.2,0.4,19.4,0.8,standing
