,Unnamed: 0,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,0,35.0,3.67,16.5,3.77,14.0,1.63,walking
1,1,28.5,3.35,17.5,3.77,12.25,3.9,walking
2,2,35.5,2.87,15.75,2.86,17.75,5.07,walking
3,3,29.75,12.19,16.25,2.17,20.75,2.59,walking
4,4,27.0,2.12,16.75,0.83,24.75,1.64,walking
5,5,36.0,5.61,12.25,2.28,19.25,2.68,walking
6,6,38.5,4.33,16.0,5.7,15.25,2.38,walking
7,7,35.25,2.49,16.0,1.41,15.0,2.83,walking
8,8,35.75,7.05,11.0,4.42,12.5,8.08,walking
9,9,36.0,7.04,15.0,2.12,16.75,4.02,walking
10,10,23.75,5.49,12.33,2.05,16.75,5.31,walking
11,11,37.0,5.05,16.67,2.36,17.0,1.41,walking
12,12,39.5,2.18,20.67,2.05,15.67,6.13,walking
13,13,36.5,2.29,21.33,1.89,12.0,2.45,walking
14,14,31.5,7.23,17.25,5.07,15.0,3.54,walking
15,15,33.0,5.72,20.25,0.83,14.33,9.74,walking
16,16,30.4,2.33,19.5,2.06,22.2,3.31,walking
17,17,37.5,4.97,12.0,4.74,13.25,3.03,walking
18,18,41.33,0.94,18.5,4.09,11.67,7.76,walking
19,19,38.5,0.5,19.0,2.0,16.5,1.5,walking
20,20,38.5,0.5,19.0,2.0,16.5,1.5,walking
21,21,36.15,3.74,16.5,4.17,14.69,6.12,walking
22,22,36.15,3.74,16.5,4.17,14.69,6.12,walking
23,23,32.0,2.74,17.67,3.68,15.0,2.16,walking
24,24,41.25,3.77,15.25,1.79,17.5,1.5,walking
25,25,38.5,0.5,15.5,3.28,18.5,1.12,walking
26,26,36.0,3.67,14.5,2.18,16.75,2.38,walking
27,27,40.75,6.38,12.25,6.61,14.0,5.52,walking
28,28,28.5,1.12,15.25,4.09,14.25,5.12,walking
29,29,25.25,3.63,14.67,4.92,16.67,1.89,walking
30,30,39.0,3.54,16.75,3.27,19.25,2.38,walking
31,31,29.25,5.67,13.0,5.83,16.0,1.22,walking
32,32,25.67,4.19,17.67,2.05,17.5,3.5,walking
33,33,39.0,3.54,13.75,2.59,18.75,1.79,walking
34,34,30.0,0.71,14.0,2.92,19.0,4.06,walking
35,35,24.5,3.57,15.5,3.35,16.25,6.3,walking
36,36,38.25,5.8,12.0,2.55,18.0,2.74,walking
37,37,37.5,1.5,15.33,1.25,18.0,1.63,walking
38,38,35.33,1.7,16.0,1.41,17.25,3.56,walking
39,39,40.25,3.63,13.75,5.31,15.25,5.67,walking
40,40,33.75,6.53,5.5,4.15,16.25,4.55,walking
41,41,31.75,1.3,16.75,5.17,12.75,8.26,walking
42,42,36.75,3.34,14.75,2.17,16.5,3.84,walking
43,43,40.5,1.5,17.75,3.11,17.0,2.45,walking
44,44,37.75,1.09,16.75,3.49,22.0,2.35,walking
45,45,41.0,2.74,9.5,4.92,14.75,3.56,walking
46,46,34.5,6.18,13.33,3.4,12.25,7.08,walking
47,47,28.67,1.7,19.67,1.25,17.5,0.5,walking
48,48,36.0,6.36,14.0,4.06,19.25,1.09,walking
49,49,41.0,2.55,10.33,6.24,14.25,3.34,walking
50,50,37.5,1.5,16.25,3.83,17.0,3.24,walking
51,51,39.0,4.9,21.0,0.0,12.0,3.0,walking
52,52,35.67,6.13,11.25,6.18,17.67,4.11,walking
53,53,23.25,8.7,10.75,4.15,15.0,6.0,walking
54,54,38.0,5.2,17.75,3.11,12.75,5.26,walking
55,55,38.67,1.89,16.33,1.25,12.75,2.49,walking
56,56,35.33,1.7,21.33,0.47,18.0,1.41,walking
57,57,37.5,1.5,20.75,1.09,12.75,5.31,walking
