,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,24.5,0.5,15.5,0.87,26.0,2.74,bending2
1,25.0,0.0,13.5,3.64,33.5,2.6,bending2
2,26.0,0.71,14.25,3.9,18.5,13.61,bending2
3,24.33,0.47,15.67,2.62,25.5,3.64,bending2
4,23.5,0.87,16.25,1.3,23.0,1.22,bending2
5,23.5,0.5,17.75,0.43,22.5,1.5,bending2
6,21.75,0.83,16.75,0.43,21.75,6.65,bending2
7,21.75,0.43,14.0,2.55,24.25,5.76,bending2
8,21.25,0.43,17.5,1.5,18.25,2.17,bending2
9,21.25,0.43,19.5,2.06,21.5,2.06,bending2
10,21.0,0.0,19.75,0.43,18.25,0.83,bending2
11,21.25,0.43,17.5,1.8,20.75,4.44,bending2
12,23.0,0.71,16.25,1.79,23.25,2.49,bending2
13,23.25,0.43,18.0,0.0,22.0,0.71,bending2
14,23.75,0.43,18.0,0.0,21.0,0.0,bending2
15,24.0,0.0,18.0,0.0,20.75,0.43,bending2
16,24.0,0.0,18.0,0.0,21.4,0.49,bending2
17,24.0,0.0,18.0,0.0,21.0,0.82,bending2
18,24.0,0.0,14.25,1.92,24.67,1.7,bending2
19,23.6,0.49,16.25,2.49,30.2,0.4,bending2
20,23.67,0.47,12.0,0.71,28.0,1.41,bending2
21,23.33,0.47,12.33,0.47,29.75,0.43,bending2
22,24.0,0.0,13.0,0.71,29.75,0.43,bending2
23,24.0,0.0,14.75,0.43,29.0,0.71,bending2
24,24.0,0.0,13.75,0.83,30.0,0.0,bending2
25,24.0,0.0,12.25,0.43,29.5,0.5,bending2
26,24.0,0.0,11.25,0.43,28.0,0.71,bending2
27,24.25,0.43,11.75,0.43,26.25,3.03,bending2
28,24.25,0.43,16.33,0.47,21.33,0.47,bending2
29,24.25,0.43,12.25,0.43,28.0,2.74,bending2
30,24.33,0.47,12.75,1.09,23.0,1.41,bending2
31,24.0,0.0,14.33,0.47,27.0,0.0,bending2
32,24.75,0.83,14.5,1.5,27.25,1.09,bending2
33,25.5,0.5,11.75,1.09,27.75,1.92,bending2
34,25.75,0.43,14.75,0.43,18.0,3.74,bending2
35,25.5,0.5,15.0,1.41,19.5,2.69,bending2
36,25.25,0.83,18.0,0.0,22.5,1.12,bending2
37,25.5,0.5,16.75,1.3,18.0,2.12,bending2
38,25.75,0.43,17.33,0.94,19.67,2.36,bending2
39,24.75,0.43,13.75,1.3,26.0,1.58,bending2
40,25.0,0.82,13.5,1.5,29.67,0.47,bending2
41,26.0,1.0,13.0,1.0,29.33,1.7,bending2
42,25.8,0.4,6.4,3.83,32.5,2.06,bending2
43,25.5,0.5,13.0,1.22,31.0,3.67,bending2
44,26.0,0.82,13.0,0.82,29.25,3.34,bending2
45,25.5,1.12,8.75,3.34,25.5,1.5,bending2
46,25.75,0.43,7.25,0.83,20.75,6.02,bending2
47,25.0,0.0,7.33,3.4,18.5,4.15,bending2
48,24.5,0.5,12.25,0.43,27.0,1.22,bending2
49,24.5,0.5,12.0,0.0,30.0,0.0,bending2
50,24.25,0.43,12.75,0.43,30.25,0.43,bending2
51,24.25,0.43,13.75,0.43,30.75,0.43,bending2
52,24.0,0.0,13.75,0.43,31.75,0.43,bending2
53,24.0,0.0,14.0,0.0,32.0,0.0,bending2
54,24.0,0.0,14.5,0.5,31.33,0.94,bending2
55,24.0,0.0,13.67,0.47,27.0,2.12,bending2
56,24.0,0.0,14.25,0.43,25.5,1.5,bending2
57,24.75,0.83,15.75,0.43,17.75,2.05,bending2
58,24.5,0.5,16.0,0.71,24.0,4.24,bending2
59,24.25,0.43,7.75,5.89,25.5,3.64,bending2
60,24.25,0.43,13.0,1.22,26.5,0.5,bending2
61,25.25,0.83,11.75,0.83,30.5,1.12,bending2
62,26.0,0.71,9.25,1.64,29.25,0.83,bending2
63,25.25,0.83,12.33,2.62,27.33,2.05,bending2
64,24.0,0.0,15.25,0.43,29.0,0.82,bending2
65,24.75,0.43,13.0,0.71,28.75,2.05,bending2
66,25.25,0.43,14.25,1.3,29.75,1.48,bending2
67,24.5,0.5,14.0,0.71,31.25,1.09,bending2
68,24.5,0.5,12.75,0.83,28.75,5.07,bending2
69,24.5,0.5,14.25,0.83,17.75,1.92,bending2
70,24.67,0.47,14.67,0.47,21.5,1.12,bending2
71,24.75,0.43,13.0,0.0,22.0,1.0,bending2
72,24.5,0.5,12.5,0.5,21.25,0.43,bending2
73,24.5,0.5,12.0,0.0,20.25,0.83,bending2
74,24.0,0.71,13.0,1.22,27.0,7.04,bending2
75,24.0,0.0,14.75,1.09,32.5,2.87,bending2
76,23.75,0.43,13.0,0.0,30.75,0.43,bending2
77,24.25,0.43,13.25,0.83,25.75,8.55,bending2
78,24.25,0.43,11.75,0.43,19.75,3.34,bending2
79,24.25,0.43,12.0,0.0,14.5,2.29,bending2
80,24.75,0.83,12.0,0.0,12.67,0.47,bending2
