,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,41.25,1.3,8.5,1.12,20.75,0.83,cycling
1,44.0,1.41,12.67,2.36,17.25,2.86,cycling
2,35.25,4.32,14.0,4.55,17.25,3.7,cycling
3,33.0,2.12,17.0,1.41,15.0,4.55,cycling
4,35.25,5.89,16.25,3.03,14.75,5.63,cycling
5,34.5,4.39,9.5,1.8,19.25,2.05,cycling
6,41.5,1.5,12.33,3.77,17.75,2.49,cycling
7,42.25,0.43,13.67,2.87,16.67,1.89,cycling
8,35.25,3.77,14.5,4.92,17.25,3.27,cycling
9,31.0,1.87,20.33,0.94,17.0,0.0,cycling
10,33.33,3.68,16.5,4.03,13.67,1.25,cycling
11,35.75,4.09,14.75,2.49,17.5,4.97,cycling
12,41.0,1.41,10.0,1.63,21.25,1.09,cycling
13,42.25,0.43,14.25,2.28,15.25,3.77,cycling
14,35.75,3.27,15.25,2.17,19.0,2.0,cycling
15,33.0,0.0,17.0,1.0,16.75,2.77,cycling
16,36.5,2.87,14.25,4.92,13.5,5.02,cycling
17,32.5,4.15,12.33,5.25,18.25,3.56,cycling
18,40.67,1.25,13.5,1.5,20.0,2.55,cycling
19,42.25,0.43,12.75,4.49,16.0,3.0,cycling
20,34.5,4.5,19.25,1.3,20.25,4.55,cycling
21,30.75,1.3,19.33,1.7,13.33,1.25,cycling
22,35.0,3.67,14.5,6.06,13.25,2.17,cycling
23,39.33,0.47,13.33,3.09,18.5,1.5,cycling
24,41.33,0.94,12.0,4.06,19.0,1.41,cycling
25,42.25,0.43,15.25,3.49,18.0,2.55,cycling
26,33.0,3.0,17.0,3.67,20.0,1.63,cycling
27,31.67,1.89,17.67,2.05,17.25,3.96,cycling
28,32.75,3.27,19.25,2.68,15.0,0.82,cycling
29,34.5,3.2,15.5,4.92,19.0,2.74,cycling
30,40.33,1.25,14.0,3.74,22.0,1.41,cycling
31,43.5,1.5,13.75,2.77,14.5,7.37,cycling
32,35.75,4.55,15.75,2.59,14.75,4.32,cycling
33,33.5,1.5,19.25,1.48,14.33,2.87,cycling
34,36.0,3.67,14.67,6.94,15.0,2.16,cycling
35,34.75,4.55,12.0,2.94,20.25,2.49,cycling
36,40.5,1.12,14.0,2.12,19.5,1.5,cycling
37,42.0,0.0,12.33,4.92,17.33,1.25,cycling
38,33.0,2.45,20.33,2.87,17.0,6.36,cycling
39,33.75,1.3,20.75,0.43,13.25,2.49,cycling
40,35.25,5.26,14.25,3.49,15.75,2.49,cycling
41,38.75,1.79,16.0,2.16,16.75,0.83,cycling
42,40.75,1.3,13.0,6.0,14.75,2.17,cycling
43,39.0,2.45,18.0,2.16,20.33,3.86,cycling
44,34.33,3.09,21.0,1.87,10.0,0.82,cycling
45,36.0,3.67,17.0,2.12,16.0,0.82,cycling
46,34.75,5.76,14.67,3.09,18.0,0.0,cycling
47,40.75,1.09,13.5,1.8,19.5,1.5,cycling
48,43.5,1.5,15.33,2.49,19.5,1.66,cycling
49,34.33,6.13,10.5,3.77,16.33,3.4,cycling
50,33.75,1.3,19.5,1.12,17.33,4.5,cycling
51,34.0,4.32,14.33,5.19,14.67,4.03,cycling
52,35.33,2.49,14.67,2.62,16.0,1.58,cycling
53,41.0,2.16,12.0,4.9,19.25,2.49,cycling
54,44.0,1.22,16.25,2.38,14.0,5.7,cycling
55,39.0,2.24,16.5,3.35,19.0,4.42,cycling
56,35.25,2.86,23.0,1.22,13.0,7.71,cycling
57,33.75,3.27,18.0,3.67,11.25,3.11,cycling
58,35.5,3.35,11.0,1.0,19.5,1.5,cycling
59,40.5,1.5,6.0,3.0,16.5,1.5,cycling
60,42.8,1.47,13.67,1.89,18.8,2.04,cycling
61,34.0,5.96,11.0,0.0,13.5,3.84,cycling
62,30.67,1.7,16.75,2.59,20.0,0.82,cycling
63,33.8,5.49,11.0,6.44,16.0,2.74,cycling
64,38.33,1.7,14.25,3.11,20.33,0.94,cycling
65,39.33,2.05,9.33,4.92,18.25,2.49,cycling
66,42.25,0.43,19.5,1.5,17.25,3.77,cycling
67,33.33,2.05,21.67,2.62,19.25,3.03,cycling
68,32.75,2.17,24.0,0.0,11.5,0.87,cycling
69,35.0,4.53,20.5,1.8,17.75,3.7,cycling
70,36.75,2.49,12.0,2.24,18.25,1.09,cycling
71,41.0,1.22,11.5,2.87,19.75,1.09,cycling
72,41.25,1.3,10.33,4.71,16.5,4.56,cycling
73,36.0,1.87,19.33,2.36,18.75,3.11,cycling
