,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,48.0,0.0,6.25,0.43,2.0,0.71,lying
1,48.0,0.0,6.0,0.0,1.67,0.94,lying
2,48.0,0.0,6.0,0.0,2.0,1.0,lying
3,48.0,0.0,5.25,0.43,2.67,0.94,lying
4,48.0,0.0,5.5,0.5,2.0,0.82,lying
5,48.0,0.0,6.25,0.43,1.33,0.47,lying
6,48.0,0.0,6.33,0.47,1.0,0.0,lying
7,48.0,0.0,6.25,0.43,1.5,0.5,lying
8,48.0,0.0,6.0,0.0,2.0,0.82,lying
9,48.0,0.0,6.0,0.0,1.5,0.5,lying
10,48.0,0.0,6.0,0.0,1.67,0.94,lying
11,48.0,0.0,6.0,0.0,2.0,0.82,lying
12,48.0,0.0,5.67,0.47,2.0,1.0,lying
13,48.0,0.0,5.0,0.0,1.75,0.83,lying
14,48.0,0.0,5.25,0.43,2.67,0.94,lying
15,48.0,0.0,5.0,0.0,1.75,0.83,lying
16,48.0,0.0,5.0,0.0,2.25,0.83,lying
17,48.0,0.0,5.0,0.0,2.0,0.82,lying
18,48.0,0.0,5.25,0.43,2.0,0.71,lying
19,48.0,0.0,6.0,0.0,1.25,0.43,lying
20,48.0,0.0,6.0,0.0,1.75,0.83,lying
21,48.0,0.0,6.0,0.0,1.5,0.5,lying
22,48.0,0.0,6.0,0.0,2.0,0.82,lying
23,48.0,0.0,6.0,0.0,1.0,0.0,lying
24,48.0,0.0,6.0,0.0,1.33,0.47,lying
25,48.0,0.0,5.67,0.47,1.0,0.0,lying
26,48.0,0.0,5.75,0.43,1.0,0.0,lying
27,48.0,0.0,5.75,0.43,1.5,0.5,lying
28,48.0,0.0,5.75,0.43,1.33,0.47,lying
29,48.0,0.0,5.5,0.5,2.5,0.5,lying
30,48.0,0.0,5.75,0.43,2.0,0.82,lying
31,48.0,0.0,5.67,0.47,1.5,0.5,lying
32,48.0,0.0,5.75,0.43,2.5,0.5,lying
33,48.0,0.0,6.25,0.43,1.0,0.0,lying
34,48.0,0.0,6.25,0.43,2.0,0.0,lying
35,48.0,0.0,6.0,0.0,2.67,1.25,lying
36,48.0,0.0,6.75,0.43,4.33,0.47,lying
37,48.0,0.0,7.0,0.0,4.25,0.83,lying
38,48.0,0.0,6.5,0.5,3.0,0.71,lying
39,48.0,0.0,6.25,0.43,2.0,0.0,lying
40,48.0,0.0,5.67,0.47,1.0,0.0,lying
41,48.0,0.0,6.33,0.47,4.0,0.82,lying
42,48.0,0.0,6.5,0.5,3.5,1.8,lying
43,48.0,0.0,6.5,0.5,2.0,0.0,lying
44,48.0,0.0,8.25,0.43,1.5,0.5,lying
45,48.0,0.0,8.5,0.5,1.0,0.0,lying
46,48.0,0.0,7.0,0.0,1.25,0.43,lying
47,48.0,0.0,7.0,0.0,2.0,0.0,lying
48,48.0,0.0,6.5,0.5,3.67,0.47,lying
49,48.0,0.0,5.75,0.43,4.5,1.12,lying
50,48.0,0.0,5.5,0.5,3.75,0.43,lying
51,48.0,0.0,6.0,0.0,4.0,0.82,lying
52,48.0,0.0,5.75,0.43,4.0,1.22,lying
53,48.0,0.0,6.0,0.0,4.0,0.82,lying
54,48.0,0.0,6.0,0.0,3.33,0.47,lying
55,48.0,0.0,6.25,0.43,2.75,0.43,lying
56,48.0,0.0,6.25,0.43,3.0,0.0,lying
57,48.0,0.0,5.33,0.47,2.25,0.83,lying
58,48.0,0.0,6.5,0.5,2.5,0.5,lying
59,48.0,0.0,6.5,0.5,3.0,1.41,lying
60,48.0,0.0,6.5,0.5,4.75,0.83,lying
61,48.0,0.0,6.0,0.0,5.25,0.83,lying
62,48.0,0.0,6.0,0.0,4.25,1.3,lying
63,48.0,0.0,6.0,0.0,4.0,1.0,lying
64,48.0,0.0,6.5,0.5,4.0,0.0,lying
65,48.0,0.0,6.75,0.43,4.5,0.87,lying
66,48.0,0.0,7.0,0.0,4.25,0.83,lying
67,48.0,0.0,6.75,0.43,4.25,0.83,lying
68,48.0,0.0,6.5,0.5,4.33,0.94,lying
69,48.0,0.0,6.5,0.5,4.0,0.0,lying
70,48.0,0.0,6.25,0.43,4.0,1.22,lying
71,48.0,0.0,6.25,0.43,4.25,0.83,lying
72,48.0,0.0,6.0,0.0,4.5,1.12,lying
73,48.0,0.0,5.75,0.43,4.75,0.43,lying
74,48.0,0.0,6.0,0.0,4.0,1.0,lying
75,48.0,0.0,6.0,0.0,4.5,1.12,lying
76,48.0,0.0,6.0,0.0,3.33,0.47,lying
77,48.0,0.0,6.0,0.71,4.5,1.12,lying
78,48.0,0.0,6.25,0.43,3.5,0.5,lying
79,48.0,0.0,6.0,0.0,4.0,0.0,lying
80,48.0,0.0,6.8,0.4,3.5,0.5,lying
81,48.0,0.0,6.33,0.47,3.5,0.5,lying
82,48.0,0.0,6.25,0.43,4.0,1.22,lying
83,48.0,0.0,6.0,0.0,4.0,1.22,lying
84,48.0,0.0,6.25,0.43,4.33,1.25,lying
85,48.0,0.0,6.0,0.0,4.0,0.71,lying
86,48.0,0.0,6.0,0.0,4.0,0.71,lying
87,48.0,0.0,6.0,0.0,3.0,0.82,lying
88,48.0,0.0,5.33,0.47,2.67,0.47,lying
89,48.0,0.0,5.0,0.0,2.25,1.3,lying
90,48.0,0.0,5.0,0.0,3.75,1.3,lying
91,48.0,0.0,4.75,0.43,3.67,0.47,lying
92,48.0,0.0,5.0,0.0,5.0,0.0,lying
93,48.0,0.0,5.0,0.0,4.25,1.09,lying
94,48.0,0.0,6.0,0.0,5.67,1.25,lying
95,48.0,0.0,6.0,0.0,5.25,0.43,lying
96,48.0,0.0,7.0,0.0,4.33,0.94,lying
97,48.0,0.0,7.0,0.0,5.33,0.94,lying
98,48.0,0.0,7.0,0.0,4.5,0.5,lying
99,48.0,0.0,7.0,0.0,6.0,0.0,lying
100,48.0,0.0,8.0,0.63,5.0,0.89,lying
101,48.0,0.0,8.25,0.83,3.33,0.47,lying
102,48.0,0.0,9.25,0.43,1.75,0.43,lying
103,48.0,0.0,8.67,0.47,2.0,1.0,lying
104,48.0,0.0,6.25,0.43,1.75,0.83,lying
105,48.0,0.0,5.25,0.43,3.75,0.83,lying
106,48.0,0.0,3.75,0.83,5.0,1.22,lying
107,48.0,0.0,3.0,0.0,5.67,0.47,lying
108,48.0,0.0,3.25,0.43,5.33,0.47,lying
109,48.0,0.0,2.25,0.43,5.67,0.47,lying
110,48.0,0.0,2.0,0.0,5.33,0.47,lying
111,48.0,0.0,1.67,0.47,5.33,0.47,lying
112,48.0,0.0,1.5,0.5,5.0,1.0,lying
113,48.0,0.0,1.75,0.43,6.5,0.5,lying
114,48.0,0.0,1.0,0.0,6.67,0.47,lying
115,48.0,0.0,1.33,0.47,5.75,0.43,lying
116,48.0,0.0,2.0,0.0,4.5,1.12,lying
117,48.0,0.0,2.75,0.43,5.75,0.43,lying
118,48.0,0.0,2.5,0.5,6.5,1.12,lying
119,48.0,0.0,1.75,0.83,5.33,0.94,lying
120,48.0,0.0,3.75,0.43,5.25,0.83,lying
121,48.0,0.0,3.33,0.47,5.0,0.82,lying
122,48.0,0.0,4.5,0.5,5.0,0.71,lying
123,48.0,0.0,5.5,0.5,5.67,0.47,lying
124,48.0,0.0,5.75,0.43,5.25,0.83,lying
125,48.0,0.0,5.75,0.43,5.67,1.25,lying
126,48.0,0.0,5.75,0.43,4.75,0.43,lying
127,48.0,0.0,5.75,0.43,5.33,0.94,lying
128,48.0,0.0,5.67,0.47,5.5,0.5,lying
129,48.0,0.0,5.75,0.43,5.5,0.5,lying
130,48.0,0.0,5.75,0.43,5.25,0.43,lying
131,48.0,0.0,5.75,0.43,5.5,0.5,lying
132,48.0,0.0,6.0,0.0,5.25,0.43,lying
133,48.0,0.0,6.0,0.0,5.25,0.83,lying
134,48.0,0.0,7.0,0.71,5.25,0.83,lying
135,48.0,0.0,6.5,0.5,3.75,1.48,lying
136,48.0,0.0,5.5,0.5,5.5,1.12,lying
137,48.0,0.0,6.33,0.47,4.67,0.47,lying
138,48.0,0.0,7.67,0.47,3.33,0.47,lying
139,48.0,0.0,6.0,2.16,4.33,1.25,lying
140,48.0,0.0,5.33,2.05,7.33,0.47,lying
141,48.0,0.0,5.25,2.86,3.5,1.12,lying
142,48.0,0.0,3.0,0.0,4.67,1.25,lying
143,48.0,0.0,3.0,0.0,4.5,0.5,lying
144,48.0,0.0,2.0,0.82,3.67,1.7,lying
145,48.0,0.0,4.0,1.87,4.0,1.41,lying
146,48.0,0.0,5.75,1.09,2.5,1.12,lying
147,48.0,0.0,6.0,0.0,2.5,0.5,lying
148,48.0,0.0,5.67,0.47,1.67,0.47,lying
149,48.0,0.0,3.0,0.0,2.33,0.94,lying
150,48.0,0.0,3.5,1.66,3.5,0.5,lying
151,48.0,0.0,4.25,1.3,4.5,0.5,lying
152,48.0,0.0,5.5,1.8,4.25,1.3,lying
153,48.0,0.0,7.67,0.47,5.0,0.0,lying
154,48.0,0.0,6.75,1.48,5.0,0.0,lying
155,48.0,0.0,8.25,1.3,8.75,2.28,lying
156,48.0,0.0,3.75,0.83,10.25,0.83,lying
157,48.0,0.0,3.33,0.47,10.0,0.0,lying
158,48.0,0.0,5.0,0.71,9.5,0.5,lying
159,48.0,0.0,9.25,0.83,9.0,0.0,lying
160,48.0,0.0,11.25,0.43,9.75,0.83,lying
161,48.0,0.0,11.75,0.43,11.0,1.0,lying
162,48.0,0.0,12.0,0.0,11.67,0.47,lying
163,48.0,0.0,12.0,0.0,12.0,0.0,lying
164,48.0,0.0,13.0,1.22,10.25,1.09,lying
165,48.0,0.0,11.5,0.5,11.33,0.94,lying
166,48.0,0.0,11.75,0.43,12.0,0.0,lying
167,48.0,0.0,13.0,0.0,12.0,0.0,lying
168,48.0,0.0,13.0,0.82,11.5,0.87,lying
169,48.0,0.0,11.0,0.71,9.25,1.09,lying
170,48.0,0.0,10.75,0.83,8.5,0.5,lying
171,48.0,0.0,11.5,0.5,8.0,0.71,lying
172,48.0,0.0,10.25,0.43,6.75,0.83,lying
173,48.0,0.0,11.0,0.71,6.5,0.5,lying
174,48.0,0.0,10.5,0.5,7.0,1.0,lying
175,48.0,0.0,10.0,0.0,7.0,0.82,lying
176,48.0,0.0,9.5,0.5,7.5,1.12,lying
177,48.0,0.0,8.25,0.83,6.75,0.83,lying
178,48.0,0.0,7.25,0.43,6.5,0.87,lying
179,48.0,0.0,8.0,0.0,8.5,0.5,lying
180,48.0,0.0,7.0,0.0,8.33,0.47,lying
181,48.0,0.0,7.0,0.0,7.0,0.82,lying
182,48.0,0.0,7.0,0.0,7.5,0.5,lying
183,48.0,0.0,6.5,0.5,8.0,1.0,lying
184,48.0,0.0,7.0,0.82,7.5,0.5,lying
