,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,44.5,0.5,15.0,0.71,9.25,0.43,standing
1,44.75,0.43,13.0,0.71,11.25,0.83,standing
2,41.33,0.94,15.33,0.47,11.0,1.22,standing
3,39.5,0.87,16.75,1.09,10.0,1.58,standing
4,39.25,0.43,15.75,2.49,15.25,2.17,standing
5,39.0,0.0,16.75,2.59,15.0,2.12,standing
6,39.5,0.5,21.25,1.09,15.75,3.27,standing
7,38.5,0.87,24.0,0.0,22.0,0.71,standing
8,37.0,1.0,24.0,0.0,21.0,0.0,standing
9,37.5,0.5,21.25,0.43,18.75,2.49,standing
10,37.67,1.25,18.5,1.5,7.33,4.11,standing
11,37.0,1.0,19.75,0.83,9.25,3.9,standing
12,36.67,0.94,17.0,1.41,11.0,1.63,standing
13,37.0,1.0,15.33,0.47,13.67,0.94,standing
14,37.0,1.0,14.67,0.47,12.67,0.47,standing
15,37.25,0.83,16.0,1.22,10.0,0.71,standing
16,38.0,1.0,17.75,0.43,6.0,3.08,standing
17,38.0,1.0,17.25,0.83,6.0,0.0,standing
18,38.25,0.83,18.0,0.0,5.67,1.7,standing
19,36.67,0.94,18.0,0.0,7.33,1.25,standing
20,36.75,0.83,17.6,1.02,11.2,0.75,standing
21,36.75,0.83,17.0,0.82,11.33,0.47,standing
22,38.5,0.5,17.6,0.49,7.8,1.6,standing
23,40.25,1.3,16.5,0.87,6.75,2.28,standing
24,41.25,1.3,16.25,0.43,9.0,0.71,standing
25,38.0,1.0,15.5,0.5,4.5,1.5,standing
26,37.67,1.25,17.25,0.83,2.0,0.0,standing
27,37.0,1.0,16.25,1.3,4.25,1.79,standing
28,37.25,0.83,15.25,0.43,5.5,0.5,standing
29,37.5,1.12,13.5,1.5,3.0,1.87,standing
30,37.33,0.47,13.33,0.94,5.67,2.05,standing
31,37.25,0.83,14.5,0.87,7.75,1.09,standing
32,37.0,1.0,16.25,0.83,6.5,0.5,standing
33,38.25,0.83,14.0,0.82,8.33,1.7,standing
34,38.5,0.5,15.0,0.71,5.75,1.3,standing
35,38.75,0.43,15.75,0.83,6.0,0.0,standing
36,39.0,0.0,14.5,0.87,9.0,0.0,standing
37,39.5,0.5,11.5,0.87,9.25,0.43,standing
38,38.0,1.0,12.0,0.0,9.67,0.47,standing
39,37.75,0.83,14.75,2.28,8.25,2.38,standing
40,37.67,1.25,17.75,0.43,5.0,2.83,standing
41,38.0,1.0,17.5,0.5,2.25,1.09,standing
42,40.0,1.58,17.0,0.71,8.0,2.35,standing
43,42.67,0.47,17.67,0.47,10.5,1.12,standing
44,42.25,0.43,18.0,0.0,11.25,0.83,standing
45,42.0,0.0,17.75,0.43,10.0,0.71,standing
46,42.0,0.0,17.5,0.87,11.5,0.5,standing
47,42.0,0.0,15.75,0.83,11.0,0.71,standing
48,42.75,0.83,15.25,0.43,11.0,1.87,standing
49,42.25,0.43,14.25,0.83,12.0,0.0,standing
50,42.0,0.0,15.0,0.0,7.33,1.89,standing
51,41.5,0.5,14.0,0.71,3.0,0.0,standing
52,41.67,0.47,14.25,0.83,11.0,1.63,standing
53,41.5,0.5,16.25,0.83,9.75,1.79,standing
54,42.75,0.83,14.67,0.47,9.33,1.25,standing
55,42.33,0.47,17.67,0.47,10.0,1.22,standing
56,42.25,0.43,15.75,0.83,7.25,1.09,standing
57,42.25,0.43,14.25,0.43,7.5,2.18,standing
58,42.0,0.0,12.5,0.5,8.5,0.87,standing
59,42.0,0.0,15.0,1.22,8.5,0.87,standing
60,42.0,0.0,15.5,0.5,7.75,1.09,standing
61,42.25,0.43,16.0,1.22,9.0,2.55,standing
62,42.0,0.0,12.67,0.94,10.33,0.94,standing
63,42.0,0.0,10.67,1.25,11.0,1.41,standing
64,42.5,0.5,11.25,0.83,11.75,1.79,standing
65,43.67,0.47,13.75,0.83,10.0,0.82,standing
66,41.75,0.43,16.25,0.43,9.25,1.09,standing
67,40.5,0.5,17.25,0.83,7.0,1.0,standing
68,40.0,0.82,16.67,0.94,8.25,1.48,standing
69,40.25,0.83,15.5,0.87,9.25,0.43,standing
70,41.0,0.71,15.5,0.87,9.25,0.43,standing
71,41.5,0.5,15.25,0.43,9.75,1.09,standing
72,42.0,0.0,17.5,0.87,7.75,2.28,standing
73,41.5,0.5,16.25,1.3,4.67,1.7,standing
74,41.75,0.43,13.0,1.41,10.0,1.63,standing
75,41.67,0.47,11.25,0.83,9.0,0.82,standing
76,41.25,0.83,11.5,0.5,8.0,0.0,standing
77,41.5,0.5,12.0,0.71,7.25,1.3,standing
78,41.0,0.82,14.67,1.25,8.25,1.3,standing
79,41.5,0.5,17.25,0.83,7.5,0.87,standing
80,41.75,0.43,18.0,0.0,11.25,1.3,standing
81,42.0,0.0,17.0,1.0,9.75,1.3,standing
82,42.0,0.0,16.25,0.83,10.0,1.0,standing
83,42.0,0.0,14.75,0.43,9.75,0.83,standing
84,42.0,0.0,15.0,0.0,10.0,1.0,standing
85,42.0,0.0,15.0,0.0,11.5,1.12,standing
86,42.25,0.43,16.67,0.47,12.67,0.94,standing
87,42.0,0.0,17.6,0.49,12.4,0.8,standing
88,41.75,0.43,18.0,0.0,12.0,0.82,standing
89,41.5,0.5,15.75,1.3,12.0,0.71,standing
90,41.5,0.5,14.5,0.5,9.5,0.87,standing
91,41.67,0.47,14.0,1.22,9.33,0.47,standing
92,41.5,0.5,13.25,1.3,11.5,1.8,standing
93,40.0,0.71,12.0,0.0,12.0,0.0,standing
94,38.0,1.41,15.67,1.7,10.25,2.49,standing
95,36.75,0.83,17.5,0.5,4.67,1.7,standing
96,37.0,1.0,17.0,0.71,10.0,0.0,standing
97,37.0,1.0,15.25,1.09,5.0,1.63,standing
98,37.0,1.0,15.0,0.0,4.0,1.0,standing
99,38.25,0.83,15.25,0.43,6.0,1.41,standing
100,41.0,1.22,17.25,0.83,9.25,0.43,standing
101,43.25,0.43,19.0,0.71,12.75,0.83,standing
102,44.0,0.82,19.5,0.5,13.67,1.25,standing
103,44.25,0.43,18.25,0.43,14.5,0.5,standing
104,44.5,0.5,19.25,0.83,12.75,0.83,standing
105,44.0,0.82,18.67,0.94,11.75,0.43,standing
106,43.5,0.5,18.25,0.43,8.0,1.58,standing
107,43.0,0.71,18.0,0.0,5.0,1.58,standing
