,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,42.33,3.4,16.25,3.11,18.0,2.45,walking
1,30.25,6.94,22.25,3.03,16.75,5.49,walking
2,30.0,5.72,20.5,3.04,22.33,1.25,walking
3,35.67,5.31,16.67,1.25,21.0,2.55,walking
4,39.0,1.22,17.75,2.77,21.5,0.87,walking
5,38.0,2.0,17.25,1.79,19.25,3.77,walking
6,37.25,9.63,12.5,2.29,16.5,5.17,walking
7,29.5,1.5,19.0,1.0,20.25,3.11,walking
8,27.5,5.94,15.0,7.35,21.5,2.29,walking
9,32.75,6.83,19.67,3.4,21.75,0.83,walking
10,35.25,1.3,14.33,2.62,12.0,6.16,walking
11,39.0,2.12,9.0,4.9,12.0,1.63,walking
12,34.25,7.05,12.5,3.35,17.25,4.49,walking
13,29.0,1.41,16.25,1.09,13.67,3.09,walking
14,27.0,5.2,10.75,5.12,15.75,4.44,walking
15,37.5,1.12,15.25,3.9,20.75,1.79,walking
16,36.33,0.47,18.0,2.45,17.5,3.77,walking
17,39.25,1.64,18.5,1.5,19.75,4.6,walking
18,30.0,1.63,18.33,2.49,17.5,3.64,walking
19,28.0,1.22,15.75,1.92,12.75,1.92,walking
20,33.25,8.1,12.0,3.67,16.5,2.96,walking
21,38.25,5.76,20.5,2.69,15.5,2.29,walking
22,34.75,3.7,15.25,5.07,12.75,2.49,walking
23,39.25,5.31,12.67,4.92,16.25,3.34,walking
24,35.25,7.79,12.75,0.83,25.0,2.12,walking
25,31.0,6.08,16.0,2.83,21.25,4.55,walking
26,41.0,5.05,16.25,3.03,22.0,1.22,walking
27,40.25,1.3,19.0,4.18,19.5,4.15,walking
28,38.75,2.17,7.33,3.86,19.5,4.5,walking
29,39.5,7.57,8.67,4.71,17.0,5.61,walking
30,31.5,1.66,17.25,3.27,17.25,2.05,walking
31,36.25,4.97,17.25,4.02,15.0,3.0,walking
32,45.0,3.67,13.67,4.11,12.75,2.49,walking
33,41.25,1.3,18.25,4.49,12.5,2.29,walking
34,39.5,7.4,22.25,1.64,9.75,5.12,walking
35,39.75,5.76,16.75,1.79,14.0,3.46,walking
36,31.0,4.36,16.25,3.34,12.5,7.53,walking
37,31.75,5.76,16.33,5.25,14.0,2.83,walking
38,39.75,1.92,17.75,3.49,8.25,4.32,walking
39,38.75,4.49,15.0,2.74,18.75,1.3,walking
40,37.0,2.92,10.5,2.6,16.0,4.06,walking
41,39.33,4.5,15.25,3.63,15.0,4.9,walking
42,27.5,5.12,11.75,4.66,24.0,0.0,walking
43,26.67,2.49,18.33,2.05,21.75,0.43,walking
44,29.75,7.89,12.75,4.32,16.67,3.4,walking
45,33.75,3.03,17.25,5.93,11.75,3.27,walking
46,34.5,4.03,13.75,1.79,14.0,3.39,walking
47,32.25,6.83,13.25,1.09,15.25,6.34,walking
48,27.25,1.79,15.0,3.08,17.75,3.49,walking
49,34.75,7.6,18.75,3.03,14.75,3.42,walking
50,33.5,4.92,17.0,0.82,9.33,4.71,walking
51,32.25,7.08,13.25,3.56,15.0,5.79,walking
52,41.25,4.76,16.0,2.94,17.33,3.86,walking
53,30.0,3.67,12.5,5.68,22.33,1.25,walking
54,28.33,3.4,13.25,3.34,12.67,2.62,walking
55,36.0,4.24,14.75,6.72,20.75,2.17,walking
56,29.0,1.63,13.67,3.3,16.25,5.49,walking
57,36.0,2.12,16.0,3.16,10.0,2.12,walking
58,37.0,7.48,17.0,1.0,14.67,2.87,walking
59,23.25,5.36,15.25,1.09,20.0,2.12,walking
